pair_id,source_x_m,source_z_m,receiver_x_m,receiver_z_m,offset_m,linear_travel_time_s,linear_travel_time_ms,noise_ms,observed_travel_time_ms,observed_travel_time_s,predicted_travel_time_ms,travel_time_residual_ms
67,45.0,0.0,50.0,0.0,5.0,0.0093896581659489,9.389658165948996,-0.1133627307451031,9.276295435203892,0.0092762954352038,9.7190838101339,-0.442788374930009
68,45.0,0.0,54.0,0.0,9.0,0.0169013846987082,16.901384698708203,-1.016412822296519,15.884971876411685,0.0158849718764116,17.85760911799812,-1.972637241586435
69,45.0,0.0,58.0,0.0,13.0,0.0244131112314674,24.413111231467408,0.0788452485916532,24.49195648005906,0.024491956480059,26.076468127919618,-1.584511647860559
70,45.0,0.0,62.0,0.0,17.0,0.0319248377642266,31.9248377642266,2.8848699594416725,34.80970772366827,0.0348097077236682,34.04393404102131,0.7657736826469588
71,45.0,0.0,66.0,0.0,21.0,0.0394365642969858,39.43656429698581,-1.6938373659744193,37.74272693101139,0.0377427269310113,41.287943356069306,-3.545216425057916
72,45.0,0.0,70.0,0.0,25.0,0.046948290829745,46.94829082974502,-1.0106165447370352,45.93767428500799,0.0459376742850079,48.22203433206553,-2.2843600470575396
73,45.0,0.0,74.0,0.0,29.0,0.0544600173625042,54.46001736250422,-0.1503563786251343,54.30966098387909,0.054309660983879,55.53911971299207,-1.2294587291129773
74,45.0,0.0,78.0,0.0,33.0,0.0619717438952634,61.97174389526342,0.3972037809214504,62.36894767618488,0.0623689476761848,62.72434792275763,-0.35540024657274927
75,45.0,0.0,82.0,0.0,37.0,0.0694834704280226,69.48347042802263,-0.8226338753640735,68.66083655265855,0.0686608365526585,70.0326756195293,-1.3718390668707485
76,45.0,0.0,86.0,0.0,41.0,0.0769951969607818,76.99519696078181,-0.6515191676741836,76.34367779310763,0.0763436777931076,77.38781363599944,-1.044135842891805
77,45.0,0.0,90.0,0.0,45.0,0.084506923493541,84.506923493541,1.3288590210596851,85.83578251460068,0.0858357825146006,84.73414408586159,1.1016384287390935
